Bank,P0,P1,P2,P3,P4,P5,P6,P7
B0,1137,1140,1094,1119,1163,1134,1130,1120
B1,1059,1057,1043,1075,1049,1063,1060,1073
B2,1081,1071,1053,1070,1075,1072,1061,1075
B3,1182,1171,1195,1529,1153,1146,1167,1203
B4,1131,1091,1113,1132,1110,1117,1111,1128
B5,1092,1071,1083,1095,1064,1088,1076,1062
B6,1167,1144,1155,1159,1157,1502,1126,1166
B7,1149,1132,1108,1139,1105,1150,1132,1108
B8,1069,415,1074,1106,1087,1070,1074,1096
B9,1369,1092,1108,1109,1112,1128,1112,1113
B10,1074,1078,1071,1080,1074,1085,1062,1073
B11,1109,1121,1114,1167,1119,1114,1102,1110
B12,1087,1065,1078,1097,1080,1091,1081,1093
B13,1076,1058,421,1098,1069,1070,1063,1055
B14,1090,1088,1079,1103,1084,1100,1096,1084
B15,1064,1075,1071,1084,1084,1102,1090,1092
